Th I | 561.023082 | 2100 | 6d3.(4F).7s | *
Th I | 561.068112 | 2300 | 6d3.(4P).7s | *
Th I | 561.206806 | 2400 | 5f.6d.7s2 | 5f.7s2.7p
Th I | 561.531949 | 7100 | 6d2.7s2 | 6d2.7s.7p
Th I | 561.99755 | 550 | 5f.6d.7s2 | *
Th I | 563.02969 | 740 | 5f.6d2.7s | *
Th I | 563.329511 | 800 | 5f.6d.7s2 | *
Th II | 563.974629 | 2800 | 6d2.(3F).7s | 5f.6d.(3D*).7s
Th I | 564.173427 | 560 | 5f.6d.7s2 | *
Th I | 564.552450 | 830 | 6d2.7s2 | *
Th I | 564.566889 | 940 | 6d3.(4F).7s | *
Th II | 564.58948 | 550 | 5f.6d.(3G*).7s | 5f.7s.(3F*).7p
Th I | 564.64515 | 520 | 6d3.(4P).7s | *
Th I | 564.899089 | 1500 | 6d2.7s2 | 6d2.7s.7p
Th I | 565.792539 | 1900 | 6d3.(4P).7s | *
Th I | 566.462120 | 580 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 566.517981 | 4300 | 5f.6d.7s2 | *
Th II | 566.562823 | 580 | 6d2.(1G).7s | 5f.(2F*).6d2.(1G)
Th I | 566.712791 | 1100 | 5f.6d.7s2 | *
Th I | 567.498623 | 910 | 6d3.(4P).7s | *
Th I | 567.705266 | 1900 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 568.519195 | 1100 | 6d3.(4F).7s | *
Th I | 569.829363 | 560 | 6d.7s2.7p | 6d4
Th II | 570.04584 | 600 | 6d2.(1G).7s | 5f.(2F*).6d2.(3P)
Th II | 570.06963 | 550 | 5f.6d.(3F*).7s | 5f.7s.(3F*).7p
Th II | 570.091760 | 2200 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th II | 570.710332 | 2900 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 571.962247 | 6300 | 6d3.(4F).7s | *
Th I | 572.018265 | 31000 | 6d2.7s2 | 5f.6d.7s2
Th I | 572.423687 | 510 | 6d3.(2G).7s | *
Th I | 572.446382 | 890 | 6d2.7s2 | *
Th I | 572.538839 | 5300 | 6d3.(4F).7s | *
Th II | 573.297534 | 710 | 6d3 | 5f.(2F*).6d2.(3F)
Th I | 573.602954 | 640 | 6d3.(2G).7s | *
Th I | 574.182881 | 1700 | 6d2.7s2 | 6d.7s2.7p
Th II | 574.20837 | 580 | 5f.6d.(3G*).7s | 5f.7s.(3F*).7p
Th I | 574.874092 | 2900 | 6d3.(4F).7s | *
Th II | 574.938832 | 830 | 6d2.(3F).7s | 5f.6d.(3D*).7s
Th I | 574.978599 | 870 | 6d2.7s2 | *
Th I | 575.302634 | 4400 | 6d2.7s2 | 5f.6d2.7s
Th I | 576.055056 | 53000 | 6d2.7s2 | 5f.6d.7s2
Th I | 576.352882 | 3700 | 6d2.7s2 | 6d2.7s.7p
Th I | 576.777843 | 790 | 5f.6d.7s2 | *
Th I | 576.818108 | 2100 | 6d2.7s2 | *
Th I | 577.394620 | 1500 | 6d3.(4F).7s | *
Th I | 577.740035 | 510 | 5f.6d.7s2 | *
Th I | 578.964495 | 3400 | 6d3.(4F).7s | *
Th I | 579.243024 | 2700 | 6d2.7s2 | 6d2.7s.7p
Th I | 579.606820 | 1600 | 6d3.(4F).7s | *
Th I | 579.731925 | 570 | 6d2.7s2 | *
Th I | 580.082948 | 6000 | 6d2.7s2 | *
Th I | 580.414105 | 18000 | 6d2.7s2 | 6d2.7s.7p
Th I | 581.297251 | 1200 | 5f.6d.7s2 | 6d4
Th II | 581.542183 | 1200 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
